Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
280,01/23/2026 03:07,01/23/2026 03:13,michael.daniels@upr.edu,MICHAEL DANIELS,Graduate School of Public Health,,,,,,,,,,,Department of Biostatistics,Michael Daniels,michael.daniels@upr.edu,Financial Reporting Enhancement - Inverse bottom-line model,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Patricia West,Yes,PPMI - MEDICAL PRACTIVE PLAN (40311);CPPF - F MEJORAS DONATIVO PRIV (40280);RMF - F PAREO GRANTS (40320),170508.18,Pending
281,02/04/2026 09:58,02/04/2026 10:00,nicole.johnston@upr.edu,NICOLE JOHNSTON,Graduate School of Public Health,,,,,,,,,,,Department of Health Policy and Management,Nicole Johnston,nicole.johnston@upr.edu,Process Optimization - Synergized discrete middleware,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Roger Zamora,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260);CPPF - F MEJORAS DONATIVO PRIV (40280),134124.14,New
282,01/20/2026 23:13,01/20/2026 23:25,derrick.johnson@upr.edu,DERRICK JOHNSON,School of Medicine,,,,,,Department of Obstetrics and Gynecology,,,,,,Derrick Johnson,derrick.johnson@upr.edu,Administrative Automation - Profound value-added throughput,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Sarah Madden,Yes,D - DONATIVOS (40270);CPF - MEJORAS PERMANENTES (40411-69);FSTAID - F AYUDA ECON FED (40210-29),236783.92,New
283,02/03/2026 00:52,02/03/2026 01:04,mary.perez@upr.edu,MARY PEREZ,Dean of Academic Affairs,,Continuing Education (DECEP),,,,,,,,,,Mary Perez,mary.perez@upr.edu,Space Renovation Project - Reduced holistic info-mediaries,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Allison Jacobson,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120);RENDINC - INGRESOS FONDO DOTAL (40370),14365.56,Pending
284,02/15/2026 15:31,02/15/2026 15:42,mary.palmer@upr.edu,MARY PALMER,School of Health Professions,,,,,,,,,,Department of Medical Technology,,Mary Palmer,mary.palmer@upr.edu,Student Success Initiative - Configurable homogeneous moratorium,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Marvin Hatfield,Yes,FGF - F GRANTS FEDERALES (40231-39);EMPAUX - F EMP AUX (20181),35203.95,Existing
285,02/13/2026 15:36,02/13/2026 15:43,kaitlin.salazar@upr.edu,KAITLIN SALAZAR,School of Dental Medicine,,,,,,,Department of Pediatric Dentistry,,,,,Kaitlin Salazar,kaitlin.salazar@upr.edu,Health Education Campaign - Decentralized intermediate parallelism,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Claudia Parker,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472);FGF - F GRANTS FEDERALES (40231-39),2173.66,New
286,02/17/2026 11:07,02/17/2026 11:12,stephanie.anderson@upr.edu,STEPHANIE ANDERSON,Dean of Investigation,,,Biostatistics Core,,,,,,,,,Stephanie Anderson,stephanie.anderson@upr.edu,Student Research Fellowship - Organized stable complexity,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,David Kim,No,,,N/A
287,02/10/2026 06:29,02/10/2026 06:37,jessica.chase@upr.edu,JESSICA CHASE,School of Dental Medicine,,,,,,,Department of Orthodontics,,,,,Jessica Chase,jessica.chase@upr.edu,Cultural Activities Series - Digitized bottom-line standardization,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,James Green,Yes,SGOVC - CONTRATOS GOB PR (40250);GF - FONDO GENERAL (40110);CPPF - F MEJORAS DONATIVO PRIV (40280),2026.83,Pending
288,02/05/2026 09:26,02/05/2026 09:31,william.walters@upr.edu,WILLIAM WALTERS,Dean of Students,,,,Housing Office,,,,,,,,William Walters,william.walters@upr.edu,Energy Sustainability - Devolved composite knowledgebase,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Aaron Johnson,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49),206137.11,New
289,02/16/2026 07:33,02/16/2026 07:39,john.blanchard@upr.edu,JOHN BLANCHARD,School of Nursing,,,,,,,,Nursing Research,,,,John Blanchard,john.blanchard@upr.edu,Purchasing System Upgrade - Open-source optimal software,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Sonia Kennedy,Yes,PPMI - MEDICAL PRACTIVE PLAN (40311),5762.06,Existing
290,02/01/2026 15:12,02/01/2026 15:25,luis.hansen@upr.edu,LUIS HANSEN,Dean of Investigation,,,Research Centers in Minority Institutions (RCMI) Program,,,,,,,,,Luis Hansen,luis.hansen@upr.edu,Academic Advising System - Configurable uniform projection,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Adam Wheeler,No,,,N/A
291,01/23/2026 14:44,01/23/2026 14:56,danielle.brandt@upr.edu,DANIELLE BRANDT,Dean of Administration,,,,,Security Office,,,,,,,Danielle Brandt,danielle.brandt@upr.edu,Curriculum Enhancement - Managed national throughput,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Omar Wilson,Yes,REVF - FONDOS ROTATORIOS (40380);PPMI - MEDICAL PRACTIVE PLAN (40311),31775.17,New
292,02/03/2026 06:40,02/03/2026 06:49,kelly.webster@upr.edu,KELLY WEBSTER,Dean of Investigation,,,Research Centers in Minority Institutions (RCMI) Program,,,,,,,,,Kelly Webster,kelly.webster@upr.edu,Learning Management System Upgrade - Advanced needs-based concept,This project addresses critical needs by developing strategic solutions and community partnerships.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Brittany Ayala,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120);ROPR - PROYECTOS ESPECIALES (40399),179972.79,Existing
293,01/28/2026 11:58,01/28/2026 12:04,catherine.lyons@upr.edu,CATHERINE LYONS,Dean of Academic Affairs,,Undergraduate Studies,,,,,,,,,,Catherine Lyons,catherine.lyons@upr.edu,Peer Support Network - Synergized background ability,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Samuel Chang,Yes,PPIU - PLAN PRACT INTRAM (40312);ISTFA - AYUDA INST ASIST ECON EST (40275);FSTAID - F AYUDA ECON FED (40210-29),10812.02,New
294,02/12/2026 02:09,02/12/2026 02:14,travis.hudson@upr.edu,TRAVIS HUDSON,School of Nursing,,,,,,,,Graduate Nursing Programs,,,,Travis Hudson,travis.hudson@upr.edu,Clinical Trial Management - Compatible grid-enabled access,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Sally Williams,No,,,N/A
295,02/11/2026 12:35,02/11/2026 12:39,tiffany.padilla@upr.edu,TIFFANY PADILLA,Dean of Academic Affairs,,Undergraduate Studies,,,,,,,,,,Tiffany Padilla,tiffany.padilla@upr.edu,Accreditation Support - Horizontal modular migration,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Victoria Wilson,Yes,FSTAID - F AYUDA ECON FED (40210-29),218660.97,New
296,02/08/2026 20:13,02/08/2026 20:20,glenn.olsen@upr.edu,GLENN OLSEN,Graduate School of Public Health,,,,,,,,,,,Department of Biostatistics,Glenn Olsen,glenn.olsen@upr.edu,Wellness Program - Right-sized user-facing core,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Wanda Jones,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472);FSTAID - F AYUDA ECON FED (40210-29);RMF - F PAREO GRANTS (40320),90024.32,New
297,02/10/2026 12:28,02/10/2026 12:39,joshua.nelson@upr.edu,JOSHUA NELSON,Dean of Administration,,,,,Information Technology,,,,,,,Joshua Nelson,joshua.nelson@upr.edu,Graduate Program Expansion - Customer-focused solution-oriented alliance,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,William Aguirre,No,,,N/A
298,01/30/2026 08:37,01/30/2026 08:43,clarence.black@upr.edu,CLARENCE BLACK,School of Dental Medicine,,,,,,,Department of Periodontology,,,,,Clarence Black,clarence.black@upr.edu,Wellness Program - Multi-lateral explicit archive,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Mercedes Wagner,Yes,CPFF - F MEJORAS FONDOS FEDERALES (40470);RENDINC - INGRESOS FONDO DOTAL (40370),200763.93,Pending
299,01/21/2026 21:51,01/21/2026 22:00,rachel.grimes@upr.edu,RACHEL GRIMES,Dean of Investigation,,,Biostatistics Core,,,,,,,,,Rachel Grimes,rachel.grimes@upr.edu,Health Education Campaign - Compatible client-server migration,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Michelle Holland,No,,,N/A
300,02/09/2026 09:51,02/09/2026 10:00,jennifer.perez@upr.edu,JENNIFER PEREZ,Chancellor,RCM Central Administration,,,,,,,,,,,Jennifer Perez,jennifer.perez@upr.edu,Financial Reporting Enhancement - Open-source composite archive,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Annette Robinson,Yes,RMF - F PAREO GRANTS (40320);ROPR - PROYECTOS ESPECIALES (40399);CPF - MEJORAS PROJETOS FEMA (40471),24715.29,Pending
301,02/09/2026 23:43,02/09/2026 23:56,terry.santana@upr.edu,TERRY SANTANA,Dean of Students,,,,Career Services,,,,,,,,Terry Santana,terry.santana@upr.edu,Process Optimization - Expanded 5thgeneration attitude,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Jonathan Herrera,No,,,N/A
302,01/28/2026 00:09,01/28/2026 00:24,danielle.freeman@upr.edu,DANIELLE FREEMAN,School of Nursing,,,,,,,,Undergraduate Nursing Programs,,,,Danielle Freeman,danielle.freeman@upr.edu,Accreditation Support - Enhanced local open architecture,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Donna Smith,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472);PPMI - MEDICAL PRACTIVE PLAN (40311);MGRC - CONTRATOS GOB MUNICIPAL (40260),20628.82,New
303,01/29/2026 04:23,01/29/2026 04:37,jason.lutz@upr.edu,JASON LUTZ,School of Health Professions,,,,,,,,,,Department of Communicative Disorders,,Jason Lutz,jason.lutz@upr.edu,Continuing Education Series - Upgradable maximized throughput,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Michele Riley,Yes,PPIU - PLAN PRACT INTRAM (40312);FGF - F GRANTS FEDERALES (40231-39),139725.62,Existing
304,02/07/2026 00:02,02/07/2026 00:17,marie.miller@upr.edu,MARIE MILLER,Dean of Academic Affairs,,Curricular Development,,,,,,,,,,Marie Miller,marie.miller@upr.edu,Research Infrastructure Development - Public-key foreground capacity,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Emily Chan,No,,,N/A
305,02/07/2026 20:11,02/07/2026 20:18,julian.king@upr.edu,JULIAN KING,School of Pharmacy,,,,,,,,,Drug Information Center,,,Julian King,julian.king@upr.edu,Mental Health Services - User-centric context-sensitive access,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Sharon Cooper,Yes,RCI - RECOBRO COSTOS IND (40330);CDBGMF - PAREO PROYECTOS FEMA (40472),241143.99,New
306,02/03/2026 06:17,02/03/2026 06:27,jessica.johnson@upr.edu,JESSICA JOHNSON,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Jessica Johnson,jessica.johnson@upr.edu,Faculty Development Program - Cross-platform optimizing process improvement,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Gloria King,Yes,CPF - MEJORAS PROJETOS FEMA (40471);SGOVC - CONTRATOS GOB PR (40250),47698.31,New
307,02/14/2026 18:16,02/14/2026 18:21,derek.rivera@upr.edu,DEREK RIVERA,School of Nursing,,,,,,,,Undergraduate Nursing Programs,,,,Derek Rivera,derek.rivera@upr.edu,Purchasing System Upgrade - Cross-group didactic encryption,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,John Zavala,Yes,GF - FONDO GENERAL (40110);ROPR - PROYECTOS ESPECIALES (40399),184317.27,Pending
308,02/15/2026 06:31,02/15/2026 06:39,kevin.ramsey@upr.edu,KEVIN RAMSEY,School of Health Professions,,,,,,,,,,Department of Communicative Disorders,,Kevin Ramsey,kevin.ramsey@upr.edu,Student Research Fellowship - Function-based reciprocal matrices,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Jennifer Buck,Yes,PPMI - MEDICAL PRACTIVE PLAN (40311);PPIU - PLAN PRACT INTRAM (40312);CPF - MEJORAS PROJETOS FEMA (40471),229061.65,Existing
